Nombre de la evaluación,Componente ambiental,matriz,Nombre del punto,Este,Norte,Zona,Datum,Altitud,Descripción de ubicación,Tipo de muestra,Norma de comparación,Parámetros que incumplen la norma,FECHA,Aluminio,Antimonio,Arsénico,Bario,Berilio,Bismuto,Boro,Cadmio,Calcio,Cerio,Cianuro libre,Cobalto,Cobre,Cromo,Cromo Hexavalente,Estaño,Estroncio,Fósforo,Hidrocarburos totales de petróleo (C10-C28),Hidrocarburos totales de petróleo (C28-C40),Hidrocarburos totales de petróleo (C5-C10),Hierro,Litio,Magnesio,Manganeso,Mercurio,Molibdeno,Níquel,Plata,Plomo,Potasio,Selenio,Sodio,Talio,Titanio,Torio,Uranio,Vanadio,Wolframio,Zinc
Shahuindo,Suelo,Nivel de fondo,SUE-Cach01,806617,9156199,17 Sur,WGS84,3157,"Puntos ubicados en el área de niveles de fondo, sector La Tauna, caserío San José. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/15/17,14673,0.8241,7.3,104,0.62,0.0872,0.616,0.6439,2147,31.57,,12.4,25,10,,0.23,28,353,,,,29686,6.31,3900,1011,<0.03,0.519,7.26,<0.006,17.1,1848,2.19,103,0.0807,22.8,2150,0.4529,68,<0.0017,122
Shahuindo,Suelo,Nivel de fondo,SUE-Cach02,806564,9156261,17 Sur,WGS84,3171,"Puntos ubicados en el área de niveles de fondo, sector La Tauna, caserío San José. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/15/17,14397,0.9997,7.5,85.1,0.559,0.1334,0.426,0.4072,2490,26.96,,12.4,29,10,,0.19,30.5,295,,,,27393,5.44,3420,742,<0.03,0.457,6.94,<0.006,16.2,1298,1.75,111,0.0677,19.9,1.909,0.4376,65,<0.0017,87.6
Shahuindo,Suelo,Nivel de fondo,SUE-Cach03,806612,9156627,17 Sur,WGS84,3159,"Puntos ubicados en el área de niveles de fondo, sector La Tauna, caserío San José. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/15/17,15706,0.9255,8.3,101,0.605,0.0978,0.66,0.475,2599,32.78,,13.6,20,9.4,,0.18,31.1,330,,,,29054,6.43,3766,944,<0.03,0.385,6.85,<0.006,17.7,1382,2.06,118,0.081,23.6,2.381,0.4845,67,<0.0017,89.7
Shahuindo,Suelo,Nivel de fondo,SUE-Cach04,806579,9156167,17 Sur,WGS84,3167,"Puntos ubicados en el área de niveles de fondo, sector La Tauna, caserío San José. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/15/17,18915,0.8005,5.4,122,0.508,0.0709,0.67,0.5591,3250,30.64,,12.6,20,11,,0.24,46.8,364,,,,29288,8.25,5503,1184,<0.03,0.507,6.68,<0.006,17.1,1507,2.14,159,0.0782,49.7,2.433,0.5062,70,<0.0017,113
Shahuindo,Suelo,Nivel de fondo,SUE-Cach05,806561,9156201,17 Sur,WGS84,3175,"Puntos ubicados en el área de niveles de fondo, sector La Tauna, caserío San José. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/15/17,18919,0.3325,3.9,122,0.531,0.0088,0.515,1.519,3798,31.98,,16.1,28,11,,0.07,56.4,407,,,,32725,8.18,6936,1589,<0.03,0.31,6.68,<0.006,17.7,1426,2.44,96,0.0608,29.3,3194,0.4936,81,<0.0017,195
Shahuindo,Suelo,Nivel de fondo,SUE-Cach06,806556,9156127,17 Sur,WGS84,3185,"Puntos ubicados en el área de niveles de fondo, sector La Tauna, caserío San José. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/15/17,17884,0.272,5,153,0.502,0.1424,0.493,1.579,3269,34.81,,13.4,21,9,,<0.01,54,268,,,,33433,9.08,7075,1937,<0.03,0.328,6.11,<0.006,14.3,1237,2.01,108,0.0565,21.4,3965,0.5063,82,<0.0017,159
Shahuindo,Suelo,Nivel de fondo,SUE-Cach07,806532,9156186,17 Sur,WGS84,3196,"Puntos ubicados en el área de niveles de fondo, sector La Tauna, caserío San José. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/15/17,16760,0.5878,5.8,127,0.642,0.0613,0.308,1.096,2318,33.84,,13.5,22,10,,0.09,45.9,232,,,,33161,8.42,5952,1228,<0.03,0.33,6.21,<0.006,11.2,1311,2.91,102,0.0709,41.7,3641,0.528,77,<0.0017,162
Shahuindo,Suelo,Nivel de fondo,SUE-Cach08,806506,9156134,17 Sur,WGS84,3204,"Puntos ubicados en el área de niveles de fondo, sector La Tauna, caserío San José. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/15/17,18076,0.269,3.6,128,0.732,0.0557,0.592,0.5678,3081,32.72,,13.7,18,10,,0.09,57.4,256,,,,31818,8.41,7185,1132,<0.03,0.301,6.69,<0.006,9.92,1191,2,105,0.057,27.9,3653,0.478,77,<0.0017,112
Shahuindo,Suelo,Nivel de fondo,SUE-Cach09,805948,9157729,17 Sur,WGS84,3200,"Puntos ubicados en el área de nivel de fondo, sector Laurel, caserío de San José en los terrenos del Sr. Edilberto Pizan Ventura. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,19457,4.636,53,54.7,0.374,1.193,0.534,0.0652,272,18.36,,5.41,25,11,,0.55,5.24,282,,,,24917,4.25,554,308,<0.03,0.907,4.95,<0.006,17.5,614,1.01,45,0.1776,61.9,1737,0.5682,63,0.0893,45.6
Shahuindo,Suelo,Nivel de fondo,SUE-Cach10,806045,9157768,17 Sur,WGS84,3200,"Puntos ubicados en el área de nivel de fondo, sector Laurel, caserío de San José en los terrenos del Sr. Edilberto Pizan Ventura. Suelos sin cultivo",Compuesto,Ninguno,Ninguno,5/16/17,31164,3.317,92,83.4,0.722,0.5356,0.646,0.156,356,29.56,,12.3,23,13,,0.63,8.28,539,,,,34260,8.08,524,1586,0.24,1.93,6.56,<0.006,58.2,1078,1.72,70,0.351,49.8,3348,0.9036,87,0.0049,122
