Item;CàDIGO;DEPARTAMENTO;PROVINCIA;DISTRITO;FECHA;SECTOR;ESTADO
1;ODSM-0001-2018;SAN MARTIN;RIOJA;RIOJA;3/01/2018;INDUSTRIA;EN SEGUIMIENTO
2;SC-0001-2018;LIMA;LIMA;CIENEGUILLA;4/01/2018;GANADERIA;CERRADA
3;SC-0002-2018;LIMA;LIMA;SAN MARTIN DE PORRES;4/01/2018;GANADERIA;EN SEGUIMIENTO
4;OEPI-0001-2018;JUNIN;CHANCHAMAYO;PERENE;4/01/2018;INDUSTRIA;EN SEGUIMIENTO
5;OEPI-0002-2018;JUNIN;CHANCHAMAYO;PERENE;4/01/2018;INDUSTRIA;EN SEGUIMIENTO
6;ODCU-0001-2018;CUSCO;LA CONVENCION;SANTA ANA;5/01/2018;MINERIA;CERRADA
7;ODCU-0002-2018;CUSCO;CUSCO;WANCHAQ;5/01/2018;INDUSTRIA;CERRADA
8;ODIC-0001-2018;ICA;ICA;LOS AQUIJES;5/01/2018;AGRICULTURA;CERRADA
9;ODMO-0001-2018;MOQUEGUA;MARISCAL NIETO;SAN CRISTOBAL;5/01/2018;TRANSPORTE;EN SEGUIMIENTO
10;ODPA-0001-2018;PASCO;PASCO;YANACANCHA;8/01/2018;INFRAESTRUCTURA;CERRADA
11;SC-0008-2018;LIMA;LIMA;SAN MARTIN DE PORRES;9/01/2018;INDUSTRIA;EN SEGUIMIENTO
12;SC-0009-2018;LIMA;LIMA;SANTA ANITA;9/01/2018;COMERCIO;CERRADA
13;SC-0010-2018;CAJAMARCA;HUALGAYOC;CHUGUR;9/01/2018;MINERIA;CERRADA
14;SC-0011-2018;ANCASH;SANTA;NUEVO CHIMBOTE;9/01/2018;SANEAMIENTO;CERRADA
15;SC-0012-2018;LIMA;LIMA;SANTIAGO DE SURCO;10/01/2018;TELECOMUNICACIONES;CERRADA
16;ODLL-0001-2018;LA LIBERTAD;TRUJILLO;LAREDO;10/01/2018;MINERIA;EN SEGUIMIENTO
17;OECO-0001-2018;APURIMAC;COTABAMBAS;CHALLHUAHUACHO;10/01/2018;MINERIA;EN SEGUIMIENTO
18;SC-0013-2018;AYACUCHO;HUAMANGA;ANDRES AVELINO CACERES;11/01/2018;INDUSTRIA;EN SEGUIMIENTO
19;SC-0014-2018;AYACUCHO;HUAMANGA;ANDRES AVELINO CACERES;11/01/2018;INDUSTRIA;EN SEGUIMIENTO
20;SC-0015-2018;LIMA;CA¥ETE;SAN VICENTE DE CA¥ETE;11/01/2018;INDUSTRIA;EN SEGUIMIENTO
21;SC-0016-2018;JUNIN;HUANCAYO;CHILCA;11/01/2018;INFRAESTRUCTURA;EN SEGUIMIENTO
22;ODAR-0001-2018;AREQUIPA;AREQUIPA;MARIANO MELGAR;11/01/2018;INDUSTRIA;CERRADA
23;ODCJ-0001-2018;CAJAMARCA;SAN MIGUEL;LLAPA;11/01/2018;MINERIA;EN SEGUIMIENTO
24;ODCU-0003-2018;CUSCO;CANCHIS;SICUANI;11/01/2018;INDUSTRIA;EN SEGUIMIENTO
25;SC-0018-2018;AYACUCHO;HUAMANGA;CARMEN ALTO;12/01/2018;INDUSTRIA;EN SEGUIMIENTO
26;SC-0019-2018;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;12/01/2018;INFRAESTRUCTURA;EN SEGUIMIENTO
27;ODAR-0002-2018;AREQUIPA;AREQUIPA;SACHACA;12/01/2018;TRANSPORTE;EN SEGUIMIENTO
28;SC-0020-2018;LIMA;LIMA;LIMA;15/01/2018;INFRAESTRUCTURA;EN SEGUIMIENTO
29;SC-0021-2018;LIMA;LIMA;LA MOLINA;15/01/2018;TRANSPORTE;EN SEGUIMIENTO
30;SC-0022-2018;SAN MARTIN;RIOJA;RIOJA;15/01/2018;INFRAESTRUCTURA;EN SEGUIMIENTO
31;ODHV-0001-2018;HUANCAVELICA;HUANCAVELICA;HUACHOCOLPA;15/01/2018;CONSTRUCCION;EN SEGUIMIENTO
32;SC-0023-2018;JUNIN;JUNIN;CARHUAMAYO;16/01/2018;MINERIA;EN SEGUIMIENTO
33;SC-0024-2018;CALLAO;CALLAO;CALLAO;16/01/2018;COMERCIO;CERRADA
34;SC-0025-2018;LIMA;LIMA;SAN JUAN DE LURIGANCHO;16/01/2018;INDUSTRIA;EN SEGUIMIENTO
35;ODAP-0001-2018;APURIMAC;ANDAHUAYLAS;HUANCARAMA;17/01/2018;SANEAMIENTO;EN SEGUIMIENTO
36;ODCJ-0002-2018;CAJAMARCA;JAEN;JAEN;17/01/2018;HIDROCARBUROS;EN SEGUIMIENTO
37;ODLA-0001-2018;LAMBAYEQUE;LAMBAYEQUE;SAN JOSE;17/01/2018;AGRICULTURA;EN SEGUIMIENTO
38;ODPI-0001-2018;PIURA;SULLANA;SULLANA;17/01/2018;SANEAMIENTO;EN SEGUIMIENTO
39;SC-0026-2018;AREQUIPA;AREQUIPA;YANAHUARA;18/01/2018;HIDROCARBUROS;CERRADA
40;SC-0027-2018;LIMA;LIMA;LIMA;18/01/2018;SANEAMIENTO;EN SEGUIMIENTO
41;SC-0028-2018;LIMA;LIMA;ATE;18/01/2018;INDUSTRIA;EN SEGUIMIENTO
42;SC-0029-2018;CUSCO;CUSCO;SAYLLA;18/01/2018;TRANSPORTE;EN SEGUIMIENTO
43;SC-0031-2018;PASCO;OXAPAMPA;CHONTABAMBA;18/01/2018;AGRICULTURA;EN SEGUIMIENTO
44;SC-0032-2018;LAMBAYEQUE;LAMBAYEQUE;MOCHUMI;18/01/2018;COMERCIO;CERRADA
45;SC-0033-2018;LIMA;LIMA;SURQUILLO;18/01/2018;CONSTRUCCION;ARCHIVADA
46;SC-0034-2018;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;18/01/2018;SANEAMIENTO;EN SEGUIMIENTO
47;SC-0035-2018;ANCASH;HUARAZ;JANGAS;18/01/2018;MINERIA;EN SEGUIMIENTO
48;SC-0037-2018;LIMA;LIMA;CHORRILLOS;18/01/2018;COMERCIO;CERRADA
49;SC-0038-2018;HUANCAVELICA;ANGARAES;SAN ANTONIO DE ANTAPARCO;18/01/2018;INFRAESTRUCTURA;EN SEGUIMIENTO
50;SC-0039-2018;LIMA;LIMA;BARRANCO;18/01/2018;CONSTRUCCION;EN SEGUIMIENTO
51;SC-0040-2018;LIMA;LIMA;BRE¥A;18/01/2018;CONSTRUCCION;CERRADA
52;SC-0043-2018;SAN MARTIN;LAMAS;BARRANQUITA;18/01/2018;INDUSTRIA;CERRADA
53;SC-0044-2018;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;19/01/2018;INFRAESTRUCTURA;EN SEGUIMIENTO
54;SC-0045-2018;LORETO;REQUENA;PUINAHUA;19/01/2018;HIDROCARBUROS;EN SEGUIMIENTO
55;SC-0047-2018;LIMA;LIMA;SAN MARTIN DE PORRES;19/01/2018;HIDROCARBUROS;EN SEGUIMIENTO
56;SC-0048-2018;LIMA;LIMA;LIMA;19/01/2018;INDUSTRIA;EN SEGUIMIENTO
57;SC-0049-2018;ICA;ICA;PUEBLO NUEVO;19/01/2018;TRANSPORTE;EN SEGUIMIENTO
58;SC-0051-2018;LIMA;LIMA;PUNTA NEGRA;22/01/2018;INDUSTRIA;CERRADA
59;SC-0052-2018;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;22/01/2018;INFRAESTRUCTURA;CERRADA
60;SC-0053-2018;LORETO;MAYNAS;SAN JUAN BAUTISTA;22/01/2018;INFRAESTRUCTURA;CERRADA
61;SC-0054-2018;HUANUCO;HUANUCO;AMARILIS;22/01/2018;INDUSTRIA;EN SEGUIMIENTO
62;SC-0055-2018;LA LIBERTAD;TRUJILLO;TRUJILLO;22/01/2018;INFRAESTRUCTURA;CERRADA
63;SC-0056-2018;LA LIBERTAD;TRUJILLO;FLORENCIA DE MORA;22/01/2018;INFRAESTRUCTURA;EN SEGUIMIENTO
64;ODPA-0002-2018;PASCO;PASCO;SIMON BOLIVAR;22/01/2018;MINERIA;EN SEGUIMIENTO
65;OEES-0001-2018;CUSCO;ESPINAR;CONDOROMA;22/01/2018;TRANSPORTE;EN SEGUIMIENTO
66;SC-0057-2018;LIMA;LIMA;PUENTE PIEDRA;23/01/2018;GANADERIA;CERRADA
67;SC-0058-2018;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;23/01/2018;INFRAESTRUCTURA;EN SEGUIMIENTO
68;SC-0059-2018;ICA;CHINCHA;SUNAMPE;23/01/2018;COMERCIO;CERRADA
69;SC-0060-2018;UCAYALI;ATALAYA;RAYMONDI;23/01/2018;ELECTRICIDAD;EN SEGUIMIENTO
70;SC-0061-2018;PIURA;PAITA;LA HUACA;23/01/2018;INDUSTRIA;EN SEGUIMIENTO
71;ODJU-0001-2018;JUNIN;HUANCAYO;CHILCA;23/01/2018;COMERCIO;EN SEGUIMIENTO
72;ODPI-0002-2018;PIURA;PIURA;AA. HH. SAN MARTIN;23/01/2018;COMERCIO;EN SEGUIMIENTO
73;ODPI-0003-2018;PIURA;TALARA;EL ALTO;23/01/2018;HIDROCARBUROS;EN SEGUIMIENTO
74;SC-0062-2018;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;24/01/2018;SANEAMIENTO;EN SEGUIMIENTO
