CODIGO SINADA,MEDIO DE RECEPCION,DEPARTAMENTO,PROVINCIA,DISTRITO,FECHA DE REGISTRO,ACTIVIDAD ECONOMICA,AGUA,AIRE,SUELO,FAUNA,FLORA,POBLACION,EFLUENTES,RESIDUOS SOLIDOS,GASES/HUMO,MATERIAL PARTICULADO,TALA,RADIACION NO IONIZANTE,FUENTE VISUAL,FUENTE SONORA,INDIRECTA/DIRECTA/MIXTA,ESTADO
SC-0013-2019,WEB,LIMA,LIMA,SAN MARTIN DE PORRES,17/01/2019,INFRAESTRUCTURA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0012-2019,WEB,TUMBES,TUMBES,PAMPAS DE HOSPITAL,17/01/2019,AGRICULTURA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,INDIRECTA,CERRADA
SC-0011-2019,WEB,LIMA,HUAURA,SANTA MARIA,17/01/2019,INFRAESTRUCTURA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,DIRECTA,CERRADA
SC-0010-2019,WEB,CALLAO,CALLAO,CALLAO,17/01/2019,INFRAESTRUCTURA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0009-2019,PERSONAL,LA LIBERTAD,TRUJILLO,TRUJILLO,17/01/2019,INDUSTRIA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0008-2019,WEB,CALLAO,CALLAO,CALLAO,17/01/2019,PESQUERIA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0007-2019,WEB,LIMA,LIMA,SANTA ANITA,17/01/2019,INDUSTRIA,0,1,0,0,0,1,0,0,0,1,0,0,0,0,DIRECTA,CERRADA
SC-0006-2019,WEB,CUSCO,CUSCO,SAYLLA,17/01/2019,INDUSTRIA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,DIRECTA,CERRADA
SC-0005-2019,WEB,LIMA,LIMA,CHORRILLOS,17/01/2019,INFRAESTRUCTURA,0,0,1,0,0,1,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0004-2019,APP MOVIL,LIMA,LIMA,INDEPENDENCIA,17/01/2019,COMERCIO,0,0,0,0,0,1,0,0,0,0,0,0,0,1,INDIRECTA,CERRADA
SC-0003-2019,WEB,LIMA,HUARAL,HUARAL,17/01/2019,COMERCIO,0,0,0,0,0,1,0,0,0,0,0,0,0,1,INDIRECTA,CERRADA
SC-0002-2019,WEB,CALLAO,CALLAO,CALLAO,17/01/2019,INFRAESTRUCTURA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0001-2019,WEB,LIMA,HUAURA,HUALMAY,17/01/2019,INDUSTRIA,1,0,1,0,0,0,0,1,0,1,0,0,0,0,MIXTA,CERRADA
OEPI-0001-2019,TELEFONO,JUNIN,SATIPO,PANGOA,18/01/2019,TRANSPORTE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,INDIRECTA,CERRADA
ODAR-0002-2019,TRA. DOCUMENTARIO,AREQUIPA,AREQUIPA,CHIGUATA,18/01/2019,MINERIA,0,1,0,0,0,1,0,0,0,1,0,0,0,0,MIXTA,CERRADA
ODLL-0001-2019,TRA. DOCUMENTARIO,LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,18/01/2019,MINERIA,1,0,0,0,0,0,1,0,0,1,0,0,0,0,MIXTA,CERRADA
ODCH-0002-2019,PERSONAL,ANCASH,SANTA,CHIMBOTE,18/01/2019,COMERCIO,0,1,0,0,0,1,0,0,1,1,0,0,0,0,INDIRECTA,CERRADA
ODCH-0001-2019,TRA. DOCUMENTARIO,ANCASH,SANTA,CHIMBOTE,18/01/2019,PESQUERIA,0,1,0,0,0,1,0,0,1,1,0,0,0,0,DIRECTA,CERRADA
ODAR-0001-2019,PERSONAL,AREQUIPA,AREQUIPA,SOCABAYA,18/01/2019,INDUSTRIA,0,1,0,0,0,1,0,0,1,1,0,0,0,1,DIRECTA,CERRADA
ODMO-0002-2019,PERSONAL,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,18/01/2019,MINERIA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,MIXTA,CERRADA
ODJU-0001-2019,TRA. DOCUMENTARIO,JUNIN,JAUJA,APATA,18/01/2019,INFRAESTRUCTURA,0,0,1,0,0,1,0,1,0,0,0,0,0,0,DIRECTA,CERRADA
ODMO-0001-2019,PERSONAL,MOQUEGUA,MARISCAL NIETO,TORATA,18/01/2019,MINERIA,1,0,0,0,0,1,1,1,0,0,0,0,0,0,MIXTA,CERRADA
ODCJ-0001-2019,PERSONAL,CAJAMARCA,HUALGAYOC,CHUGUR,18/01/2019,MINERIA,1,0,0,1,1,1,1,0,0,0,0,0,0,0,MIXTA,CERRADA
SC-0026-2019,WEB,LIMA,LIMA,ATE,18/01/2019,INDUSTRIA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0025-2019,WEB,LA LIBERTAD,TRUJILLO,LA ESPERANZA,18/01/2019,INFRAESTRUCTURA,1,0,1,0,0,1,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
