Nombre de la Evaluación,NOMBRE,FECHA,LOCALIDAD,METODOLOGIA,CIENCIA,ESTUDIO,ESPECIE,GENERO,FAMILIA,ORDEN,CLASE,PHYLUM,REINO
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Macrocnemum roseum,Macrocnemum,Rubiaceae,Gentianales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Matisia cordata,Matisia,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Micropholis sp. 1,Micropholis,Sapotaceae,Ericales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Myrcia amazonica,Myrcia,Myrtaceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Nectandra pulverulenta,Nectandra,Lauraceae,Laurales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Nectandra sp. 2,Nectandra,Lauraceae,Laurales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Neea divaricata,Neea,Nyctaginaceae,Caryophyllales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Neea floribunda,Neea,Nyctaginaceae,Caryophyllales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Neea spruceana,Neea,Nyctaginaceae,Caryophyllales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Ocotea leucoxylon,Ocotea,Lauraceae,Laurales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Oenocarpus bataua,Oenocarpus,Arecaceae,Arecales,Monocotyledoneae,Angiospermae,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Omphalea sp. 1,Omphalea,Euphorbiaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Ormosia paraensis,Ormosia,Tipulidae,Diptera,Insecta,Arthropoda,Animalia
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Ouratea superba,Ouratea,Ochnaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pachira sp.,Pachira,Malvaceae,Malvales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Poulsenia armata,Poulsenia,Moraceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
Lote 131,FL-01,-,Aguaytillo,Parcelas por árboles,Botánica,-,Pourouma cecropiifolia,Pourouma,Urticaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae
